combs, loss, block
683,448,374,448,52,374, 683, 448, 
302,694,687,694,52,687, 302, 694, 
275,640,702,640,52,702, 275, 640, 
411,327,693,327,52,693, 411, 327, 
599,329,659,329,52,659, 599, 329, 
294,336,679,336,52,679, 294, 336, 
477,530,690,530,52,690, 477, 530, 
657,425,110,425,52,110, 657, 425, 
321,390,664,390,52,664, 321, 390, 
661,160,369,160,52,369, 661, 160, 
658,319,556,319,52,556, 658, 319, 
668,24,147,24,52,147, 668, 24, 
632,603,670,603,52,670, 632, 603, 
699,697,312,697,52,312, 699, 697, 
656,498,676,498,51,676, 656, 498, 
658,275,676,275,51,676, 658, 275, 
340,59,527,59,49,527, 340, 59, 
705,319,656,319,45,656, 705, 319, 
690,664,679,664,39,679, 690, 664, 
704,302,695,302,38,695, 704, 302, 
340,477,668,477,36,668, 340, 477, 
350,621,18,621,36,18, 350, 621, 
683,685,670,685,29,670, 683, 685, 
443,617,447,617,29,447, 443, 617, 
661,621,443,621,27,443, 661, 621, 
